time,FinapresPPG
61.0084613333333,41.12249
61.0217946666667,39.56511
61.035128,37.36843
61.0484613333333,34.58555
61.0617946666667,31.54202
61.075128,28.59692
61.0884613333333,25.91495
61.1017946666666,23.49389
61.115128,21.31778
61.1284613333333,19.39396
61.1417946666667,17.6775
61.155128,16.00719
61.1684613333333,14.18901
61.1817946666667,12.14821
61.195128,9.98578
61.2084613333333,7.73721
61.2217946666667,5.30305
61.235128,2.67137
61.2484613333333,0.01644
61.2617946666667,-2.48681
61.275128,-4.8393
61.2884613333333,-7.19288
61.3017946666667,-9.65789
61.315128,-12.14607
61.3284613333333,-14.56278
61.3417946666667,-16.88668
61.355128,-19.143
61.3684613333333,-21.3024
61.3817946666667,-23.37474
61.395128,-25.47789
61.4084613333333,-27.71531
61.4217946666667,-30.00338
61.435128,-32.08129
61.4484613333333,-33.67827
61.4617946666666,-34.50772
61.475128,-34.12985
61.4884613333333,-31.93726
61.5017946666667,-27.46778
61.515128,-20.58122
61.5284613333333,-11.5707
61.5417946666667,-1.14272
61.555128,9.73567
61.5684613333333,19.95275
61.5817946666667,28.46055
61.595128,34.60843
61.6084613333333,38.27986
61.6217946666667,39.78071
61.635128,39.5635
61.6484613333333,38.21716
61.6617946666667,36.30578
61.675128,34.20912
61.6884613333333,32.11013
61.7017946666667,30.09609
61.715128,28.16845
61.7284613333333,26.21454
61.7417946666666,24.09266
61.755128,21.80918
61.7684613333333,19.56415
61.7817946666667,17.63311
61.795128,16.05917
61.8084613333333,14.7295
61.8217946666667,13.56776
61.835128,12.52766
61.8484613333333,11.46615
61.8617946666667,10.15278
61.875128,8.43185
61.8884613333333,6.33536
61.9017946666667,4.01424
61.915128,1.55249
61.9284613333333,-1.0621
61.9417946666667,-3.90443
61.955128,-6.94072
61.9684613333333,-10.00156
61.9817946666667,-12.90221
61.995128,-15.54202
62.0084613333333,-17.96144
62.0217946666667,-20.33739
62.035128,-22.83727
62.0484613333333,-25.53432
62.0617946666667,-28.42605
62.075128,-31.34619
62.0884613333333,-34.0102
62.1017946666666,-36.09782
62.115128,-37.24147
62.1284613333333,-36.9664
62.1417946666667,-34.79345
62.155128,-30.4048
62.1684613333333,-23.69193
62.1817946666667,-14.82559
62.195128,-4.30154
62.2084613333333,6.99149
62.2217946666667,17.82852
62.235128,27.08709
62.2484613333333,34.00182
62.2617946666667,38.37171
62.275128,40.5303
62.2884613333333,41.07711
62.3017946666667,40.58693
62.315128,39.45664
62.3284613333333,37.90512
62.3417946666667,36.01968
62.355128,33.83367
62.3684613333333,31.39533
62.3817946666667,28.78648
62.395128,26.05792
62.4084613333333,23.19269
62.4217946666667,20.24585
62.435128,17.41481
62.4484613333333,14.89726
62.4617946666666,12.75331
62.475128,10.90168
62.4884613333333,9.18721
62.5017946666667,7.51909
62.515128,5.81656
62.5284613333333,3.94937
62.5417946666667,1.79067
62.555128,-0.69611
62.5684613333333,-3.41743
62.5817946666667,-6.24316
62.595128,-9.13446
62.6084613333333,-12.07669
62.6217946666667,-14.95009
62.635128,-17.59732
62.6484613333333,-20.0009
62.6617946666667,-22.16859
62.675128,-24.15713
62.6884613333333,-26.08805
62.7017946666667,-28.10648
62.715128,-30.29024
62.7284613333333,-32.54346
62.7417946666666,-34.61029
62.755128,-36.21432
62.7684613333333,-37.03871
