time,FinapresBP
3.07096133333332,78.36913
3.07596133333332,78.10725
3.08096133333332,77.89914
3.08596133333332,77.75667
3.09096133333332,77.69298
3.09596133333332,77.72242
3.10096133333332,77.86038
3.10596133333332,78.12297
3.11096133333332,78.52657
3.11596133333332,79.08717
3.12096133333332,79.81953
3.12596133333332,80.73622
3.13096133333332,81.84658
3.13596133333332,83.15566
3.14096133333332,84.66322
3.14596133333332,86.36296
3.15096133333332,88.24216
3.15596133333332,90.28172
3.16096133333332,92.45663
3.16596133333332,94.73672
3.17096133333332,97.0877
3.17596133333332,99.47257
3.18096133333332,101.85309
3.18596133333332,104.19143
3.19096133333332,106.45162
3.19596133333332,108.60096
3.20096133333332,110.61118
3.20596133333332,112.4593
3.21096133333332,114.12834
3.21596133333332,115.6076
3.22096133333332,116.89257
